A,B,C,D
1,31,-19.76,464.09
2,2,-17.92,29.25
3,21,-15.63,314.28
4,32,-13.71,479.23
5,3,-11.84,44.15
6,20,-10,299.32
7,7,-7.94,104.27
8,9,-5.83,134.33
9,15,-3.87,224.19
10,16,-1.67,239.05
11,37,0.17,554.23
12,0,2.11,-0.66
13,20,4.24,299.25
14,2,6.09,29.16
15,28,8.12,419.26
16,37,10.24,554.2
17,31,12.31,464.29
18,20,14,299
19,15,16.07,224.08
20,28,18.15,419.35
21,28,20.13,419.14
22,13,22.05,194.19
23,1,24.25,14.06
24,29,26.28,434.09
25,39,28.16,584.23
26,28,30.13,419.09
27,2,32.04,29.34
28,33,34.16,494.28
29,36,36.24,538.98
30,38,38.04,569.15
31,35,40.32,524.22
32,12,42.06,179.3
33,25,43.99,374.09
34,25,46.28,373.99
35,36,48.28,539.09
36,21,50.08,314.16
37,24,52.1,359.14
38,12,54.36,179.25
39,3,56.24,44.11
40,35,58.22,524.17
41,4,60.17,59.04
42,29,62.21,434.04
43,13,64.07,194.05
44,24,66.32,359.36
45,18,68.21,269.18
46,29,70.02,434.28
47,0,72.19,-1
48,16,74.31,238.98
49,3,76.34,44.24
50,8,78.21,119
51,20,80.26,299.2
52,26,82.15,389.03
53,32,84.2,479.04
54,39,86.04,584.31
55,29,88.14,434.14
56,9,90.36,134.1
57,39,92.36,584.31
58,34,94.04,509.25
59,34,96.08,509.13
60,13,98.08,194.37
61,15,100.28,224.17
62,29,102.14,434.34
63,27,103.98,404.16
64,33,105.98,494.14
65,18,108.27,269.31
66,34,110.37,509.29
67,7,112.28,104.19
68,32,114.22,479.25
69,19,116.09,284.27
70,27,118.22,403.98
71,18,120.29,269.28
72,37,122.11,554.37
73,25,123.98,374.37
74,3,126.23,44.29
75,11,128.34,164.11
76,36,130.2,539.02
77,19,132.27,284.32
78,0,134.12,-0.83
79,28,136.23,419.28
80,9,138.1,134.04
81,9,140.28,134.27
82,32,142.17,479.32
83,31,144.02,464.24
84,22,146.37,329.02
85,6,148.09,88.98
86,19,150.37,284.2
87,23,152.17,344.02
88,9,154.09,134.16
89,20,156.29,299.01
90,2,157.99,29.06
91,8,160,119.28
92,30,162.32,449.08
93,16,164.15,239.12
94,3,166.3,44.12
95,7,168.36,104.15
96,7,170.07,104.06
97,21,172.22,314.17
98,25,174.31,374.29
99,35,176.12,524.2
100,39,178.14,584.13
